VideoId,Classifier Label,Manual Label,Title,
https://www.youtube.com/watch?v=cVhcbgxv3yE,b,f,AllAdsWork - How to Watch Your 10 Ads,
https://www.youtube.com/watch?v=iMtXqTmfta0,b,b,The world is poorly designed. But copying nature helps.,
https://www.youtube.com/watch?v=1dXWtgd5QYw,b,u,Self click admob team work setup,
https://www.youtube.com/watch?v=bSWEbaoxa7c,b,b,"I paid Fortnite ""Pros"" on Fiverr to get me a win",
https://www.youtube.com/watch?v=fch2yJ11pNg,b,b,My Boyfriend IGNORED ME For Another GIRL...Is He Cheating? | Roblox Royale High Roleplay,
https://www.youtube.com/watch?v=WjD7jLmS3ro,b,b,Are Stocks and Crypto Markets correlated !   CNBC Fast Money - Cryptocurrency,
https://www.youtube.com/watch?v=gNWIVs9-fdw,b,b,High demand business idea. Business idea in hindi. Business to start from home.,
https://www.youtube.com/watch?v=g_oa1VYcSLI,b,b,How To Create A Passive Income On YouTube,
https://www.youtube.com/watch?v=TVguAX_mWdg,b,b,How to create Direct Check Out Option in WooCommerce and reconfigure it,
https://www.youtube.com/watch?v=0fnv05N1rrs,b,b,How To Open a Paytm Bank Account Easily !,
https://www.youtube.com/watch?v=IdmgTnB1uC0,b,b,5 Ways to Make Passive Income Online,
https://www.youtube.com/watch?v=s_a7AZbJGNM,b,b,Fishing Stereotypes,
https://www.youtube.com/watch?v=ytQ5CYE1VZw,b,b,Eminem - Till I Collapse [HD],
https://www.youtube.com/watch?v=sSdiQ95l1rQ,b,b,Clicker Heroes  Easy MONEY GLITCH,
https://www.youtube.com/watch?v=dE5uoAMnQ0k,b,b,Trading Psychology. Bounce Back from Trading Losses Part 2 of 2 by Adam Khoo,
https://www.youtube.com/watch?v=IQ34jeVFCEU,b,b,Dobre Brothers - Stop That (Music Video),
https://www.youtube.com/watch?v=mG6LqCndqjY,b,b,Businesswoman Ditches Career For Giant Gators | BEAST BUDDIES,
https://www.youtube.com/watch?v=YLlCCc-uKtc,b,b,HOW TO MAKE YOUR FIRST STOCK MARKET INVESTMENT with $100!,
https://www.youtube.com/watch?v=c5iEr5bAiEI,b,b,Google removes Iranian-backed app over cyber-spying concerns,
https://www.youtube.com/watch?v=IrOCxjQyOCk,b,b,"#dncleaks-CORRUPTION, CRONYISM, & COLLUSION: Why The Clinton's are GUARANTEED PRISON this time",
https://www.youtube.com/watch?v=l0jA0xBiBxg,b,u,"In China, the 'click factory' is selling followers and appreciation for the fee. - Semalt",
https://www.youtube.com/watch?v=XUlSwuitX_M,b,b,Earning Money From Blogs? Is it true - Famous Bloggers Introduction in Telugu -Smarttelugu,
https://www.youtube.com/watch?v=VMGQi4Pb3jk,b,b,Imagine BTS Likes You | BTS vLive Fake Subs | BTSimagines Tv,
https://www.youtube.com/watch?v=67e-pIVmrww,b,b,Make Money Online Scams Exposed - 7 Ways To Spot One,
https://www.youtube.com/watch?v=7NdCEsA3TYY,b,b,"Hrudhyat Waje Something -    - Ep 51 - Full Episode - 17th October, 2018",
https://www.youtube.com/watch?v=Aa5_4CK-lz8,b,b,Cenk Uygur Destroys Mainstream Media News And So Called Liberal Democrats At The National Press Club,
https://www.youtube.com/watch?v=xs5xWh2Pr-I,b,b,How to make money with Associate Program - Gearbest.com,
https://www.youtube.com/watch?v=XWFF6wcNb_U,b,b,A DAY IN MY LIFE AS FREELANCE GRAPHIC DESIGNER LIVING IN LONDON,
https://www.youtube.com/watch?v=mdt2WfEESl8,b,u,Netflix VS YuTube Earning and Business Model,
https://www.youtube.com/watch?v=Gn-7m1Cl8Fk,b,b,U.S.  Digital Registry Instructional Webinar,
https://www.youtube.com/watch?v=prdA3zI651o,b,b,Best Home Based Business Ideas - How To Make Money Online,
https://www.youtube.com/watch?v=kYrzy-dGQUk,b,b,Easy Way To Make $200 A Day With Facebook Ads (Beginner Friendly),
https://www.youtube.com/watch?v=lJ8szQAQj5w,b,b,WordPress tutorial: Configuring payment options | lynda.com,
https://www.youtube.com/watch?v=ae6uDAmQAIw,b,f,"EARN FREE CRYPTOCURRENCY! No mining, No faucets!","the links shows how to earn money through surveys, watching videos, install apps (nothing in description)"
https://www.youtube.com/watch?v=NCXHnrzeNyc,b,f,Bot Telegram de DOGECOIN (DOGE Click Bot)  -  Prova de pagamento (TOTALMENE FREE),"different lang, no description/tags"
https://www.youtube.com/watch?v=rKl281RKVNc,b,b,The best freelancing advice you'll hear,
https://www.youtube.com/watch?v=i0OD6WQ2H6c,b,b,Pet Care - Start a Business Pet Shop - Bhola Shola,
https://www.youtube.com/watch?v=ry1nT6AmEUA,b,b,Landing Page Setup For Pay Per Call Niche,
https://www.youtube.com/watch?v=E1GSOlEi5IM,b,b,How to become a freelancer (in Hindi),
https://www.youtube.com/watch?v=6tKK00krGoI,b,b,"Collect Emails , Send Emails And Make Money Online",
https://www.youtube.com/watch?v=mCNSHgy4f24,f,f,"Create Admob Account, Ad Unit Bangla tutorial [ Admob Self Click ]",
https://www.youtube.com/watch?v=dnHxCM7IfHU,f,f,Are Online Survey Sites Real? PROOF | behind the scenes,"site where user can watch videos, click"
https://www.youtube.com/watch?v=2ij6cSpEw2o,f,f,Admob Banner ADS Tutorial Hindi by Easy Tut 4 U,
https://www.youtube.com/watch?v=qWzc0gn7dII,f,f,Earn money by making Adfly Account ..earn unlimited money by shrinking the link,turns links into earning ones by adding an ad layer. visitors will see an ad before reaching a destination page
https://www.youtube.com/watch?v=_r-ims7MBcU,f,u,Paid Online Surveys Review - Survey Voices - InboxDollars - Cash Crate,
https://www.youtube.com/watch?v=aN2BweznxTc,f,u,New App. 10 Rs Free PayTm Cash. Best Self Task Earning Apps 2018. No refer,
https://www.youtube.com/watch?v=MNmqIWO1-qo,f,f,CAR DONATION NEW APP EARN MONEY VERY SIMPLE WAY,
https://www.youtube.com/watch?v=z8-N86KHCEs,f,f,Make money online with ppc ads. Sign up for Uber today below in the description,no step by step tutorial but explains 
https://www.youtube.com/watch?v=HrXIjToFKLg,f,f,Neobux and the Importance of Direct Referrals,
https://www.youtube.com/watch?v=ZACA_P9vMwk,f,u,How To Delete Multiple Adsense Account | Google Advertising | Earn Money Online,
https://www.youtube.com/watch?v=i8jCpnVR6wo,f,b,CitizenMe New Earning application Paypal Money | Payment proof real application,only talks about surveys but video text doesn't specify
https://www.youtube.com/watch?v=U6pcvzEC764,f,u,Make 300 rupees free Paytm money with this application | sport money,
https://www.youtube.com/watch?v=dqAQQu0IXUU,f,f,Earning app for Android / pivot app se paise kaise kamaye,
https://www.youtube.com/watch?v=fq7cXr6vVb4,f,u,Bitsvisit Free Bitcoin Earning Per Click 3 Satoshi Auto click Bots Bitcoin Paid To Advertising + Aut,
https://www.youtube.com/watch?v=9rre_KrdUQc,f,f,Earn By Self Clicking On Admob Ads | Latest Trick APRIL | 2018,
https://www.youtube.com/watch?v=8VIf4GwWFd4,f,b,Earn easy money anywhere reviewing phone calls,no description/tags
https://www.youtube.com/watch?v=WpBJxTzNIc8,f,f,Ojooo $130 Live Payment Proof | Ojooo Big Update on Payment System,
https://www.youtube.com/watch?v=jZCge2MQ6OY,f,u,Veeu apps for earning apps unlimited money     |||Tachnical mi,
https://www.youtube.com/watch?v=MkZ_tOAH2sM,f,,Facebook  Se Paise Kaise Kamaye | Earn Money From Facebook,"share link on whatsapp/fb, tags: earn money from fb ads"
